strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD238,TRUE,5044568,0,2,2,prophiGD238_3-1|prophiGD238_4-1,75903|52084,154956-230159|397295-448861,8,2,RM_III|RM_IIG,AbiAlpha|CBASS|Dag|RM_Type_IIG|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_N4_RM_Type_III|N6_RM_Type_IIG|RloC|RosmerTA|Wadjet_I,15,2,2,23,NA,M. abscessus,abscessus,Christiana Care - Newark Delaware,USA,36,4,0.1111,DCC4,L|HD,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Fionnbharthdel45del47|CrimD del del,4,BPsREM1del33|ZoeJdel43-45|Itos|Faith1,4,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,CBASS|Dag|RM_Type_IIG,spot_56
GD239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Christiana Care - Newark Delaware,USA,36,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD24,TRUE,5144385,1,3,3,prophiGD24_1-1|prophiGD24_5-1|prophiGD24_6-1,52875|65726|54885,261242-312611|74-65346|248212-302947,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Giannina Gaslini Children’s Hospital, Genoa Italy",Italy,33,2,0.0606,DCC1,HG|HA|A1,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,NA,0,R,FALSE,TRUE,BPs|Itos,2,TRUE,TRUE,FALSE,1,1,AbiAlpha,spot_32
GD240A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Queens University,Canada,36,5,0.1389,NA,NA,0,ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Adephagiadel43del45|TM4 del rep,5,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD240B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Queens University,Canada,36,5,0.1389,NA,NA,0,ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Adephagiadel43del45|TM4 del rep,5,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD241,TRUE,5023921,2,0,0,NA,NA,NA,8,1,RM_II,AbiAlpha|CBASS|DpnI|McrBC|Other_Type_IV|RM_Type_II|Rhea|Wadjet,AbiAlpha|CBASS_II_Phospholipase|DpnI|McrBC|N6_N4_RM_Type_II_HATPase|Other_Type_IV|Rhea|Wadjet_I,7,0,1,15,NA,M. abscessus,massiliense,Children's Nebraska,USA,36,0,0,Non-DCC,NA,0,NA,0,8UZL,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,4,4,CBASS|McrBC|Other_Type_IV|Rhea,spot_10|spot_39
GD242A,TRUE,5152919,0,1,1,prophiGD242A_3-1,40118,266243-305213,11,2,RM_IIG,AbiAlpha|Aristaios|Armada|Butters_gp57r|McrBC|Other_Type_IV|PD-T7-2|RM_Type_IIG|VP1853|Wadjet,AbiAlpha|Aristaios|Armada_Type_II|Butters_gp57r|McrBC|N6_RM_Type_IIG|Other_Type_IV|PD-T7-2|VP1853|Wadjet_I,9,1,1,20,NA,M. abscessus,bolletii,University Hospital Jena,Germany,36,0,0,Non-DCC,HB,1,NA,0,phiGD89A-1,1,R,FALSE,NA,NA,NA,NA,NA,TRUE,3,6,Aristaios|Armada|McrBC|PD-T7-2|RM_Type_IIG,spot_26|spot_29
GD242B,TRUE,5055248,1,1,1,prophiGD242B_4-1,40118,219478-258448,11,2,RM_IIG,AbiAlpha|Aristaios|Armada|Butters_gp57r|McrBC|Other_Type_IV|PD-T7-2|RM_Type_IIG|VP1853|Wadjet,AbiAlpha|Aristaios|Armada_Type_II|Butters_gp57r|McrBC|N6_RM_Type_IIG|Other_Type_IV|PD-T7-2|VP1853|Wadjet_I,9,1,1,20,NA,M. abscessus,bolletii,University Hospital Jena,Germany,36,1,0.0278,Non-DCC,HB,1,phiGD21-1,1,phiGD89A-1,1,R,FALSE,NA,NA,NA,NA,NA,TRUE,4,7,AbiAlpha|Aristaios|Armada|PD-T7-2|RM_Type_IIG|Wadjet,spot_29
GD242C,TRUE,5171359,1,1,1,prophiGD242C_4-1,40118,179823-218793,11,2,RM_IIG,AbiAlpha|Aristaios|Armada|Butters_gp57r|McrBC|Other_Type_IV|PD-T7-2|RM_Type_IIG|VP1853|Wadjet,AbiAlpha|Aristaios|Armada_Type_II|Butters_gp57r|McrBC|N6_RM_Type_IIG|Other_Type_IV|PD-T7-2|VP1853|Wadjet_I,9,1,1,20,NA,M. abscessus,bolletii,University Hospital Jena,Germany,36,1,0.0278,Non-DCC,HB,1,phiGD21-1,1,phiGD89A-1,1,R,FALSE,NA,NA,NA,NA,NA,TRUE,4,7,Armada|Butters_gp57r|McrBC|RM_Type_IIG|VP1853|Wadjet,spot_1|spot_26|spot_29
GD243,TRUE,5093480,0,2,2,prophiGD243_19-1|prophiGD243_5-1,32968|40441,19021-50879|222121-261997,8,3,RM_I|RM_II|RM_IIG,AbiAlpha|Hna|RM_Type_I|RM_Type_II|RM_Type_IIG|SoFIC|Wadjet,AbiAlpha|DNA_met_RM_Type_II|Hna|N6_RM_Type_I|N6_RM_Type_IIG|SoFic|Wadjet_I,14,0,3,22,NA,M. abscessus,abscessus,"Sansum Clinic and Cottage Health, Santa Barbara, CA",USA,36,6,0.1667,DCC5,HD|HB,2,Muddy|Muddy_HRM-GD04|ZoeJdel43-45|Fionnbharthdel45del47|8UZL|Maco6,6,TM4 del rep|phiGD89A-1|phiGD21-1|Faith1|MissWhite,5,R,FALSE,TRUE,Muddy|Fionnbharth|ZoeJ,3,TRUE,TRUE,TRUE,3,3,SoFIC|Wadjet,spot_9
GD244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UC San Diego Health,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD245,TRUE,5103644,0,1,1,prophiGD245_2-1,70587,449148-519282,7,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|SEFIR|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|SEFIR|Wadjet_I,12,0,0,19,NA,M. abscessus,abscessus,Ohio State University,USA,36,12,0.3333,DCC1,HA,1,D29_HRM_GD40|phi-T45|phiGD57-1|phiGD17-1|phiGD24-3|phiGD89A-1|phiGD20-1|phiGD22-1|phiGD34-2|phiGD21-1|GD59SF/phiGD57-1|D29_HRM_GD150,12,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsREM1del33|Itos|phiGD23-1|Faith1|Faith1GD69,7,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,2,2,Aristaios|CBASS,spot_3|spot_49
GD246A,TRUE,5236313,1,2,2,prophiGD246A_13-1|prophiGD246A_4-1,47085|55504,122217-169014|52744-106742,11,4,RM_I|RM_III|RM_IIG,AbiAlpha|Armada|DRT|Dag|RM_Type_I|RM_Type_IIG|RM_Type_III|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|Dag|N6_N4_RM_Type_III|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,22,NA,M. abscessus,abscessus,Royal Belfast Hospital for Sick Children,United Kingdom,36,0,0,DCC2,HE|HG,2,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,3,4,Dag|RM_Type_III|Thoeris|Wadjet,NA
GD246B,TRUE,5241820,1,1,1,prophiGD246B_4-1,55504,271618-325616,11,4,RM_I|RM_III|RM_IIG,AbiAlpha|Armada|DRT|Dag|RM_Type_I|RM_Type_IIG|RM_Type_III|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|Dag|N6_N4_RM_Type_III|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,22,NA,M. abscessus,abscessus,Royal Belfast Hospital for Sick Children,United Kingdom,36,0,0,DCC2,HG,1,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,2,4,Armada|RM_Type_IIG|Wadjet,spot_53
GD246C,TRUE,5264356,0,2,2,prophiGD246C_13-1|prophiGD246C_5-1,42817|55504,123222-164818|271618-325616,11,4,RM_I|RM_III|RM_IIG,AbiAlpha|Armada|DRT|Dag|RM_Type_I|RM_Type_IIG|RM_Type_III|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|Dag|N6_N4_RM_Type_III|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,22,NA,M. abscessus,abscessus,Royal Belfast Hospital for Sick Children,United Kingdom,36,0,0,DCC2,HE|HG,2,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,1,2,Dag|RM_Type_III,NA
GD247,TRUE,4934422,0,1,1,prophiGD247-1,40473,3912687-3953021,7,1,RM_III,AbiAlpha|CBASS|Dag|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_N4_RM_Type_III|RloC|RosmerTA|Wadjet_I,13,1,1,20,NA,M. abscessus,abscessus,Royal Children's Hospital of Melbourne,NA,36,10,0.2778,DCC4,HN,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsREM1del33|ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Adephagiadel43del45|Itos|Faith1|Faith1GD69,10,NA,0,R,FALSE,TRUE,BPs|Itos|CrimD,3,TRUE,TRUE,FALSE,3,3,CBASS|Dag|RosmerTA,spot_3|spot_66|spot_88
GD248,TRUE,5062793,0,1,1,prophiGD248_1-1,40500,456148-496041,5,0,NA,AbiAlpha|Aristaios|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|Dnd_ABCDE|Hna|Wadjet_I,10,0,0,15,NA,M. abscessus,abscessus,Hadassah Hebrew Univ,Israel,36,10,0.2778,DCC1,HB,1,Itos|D29_HRM_GD40|phi-T45|phiGD57-1|phiGD17-1|phiGD89A-1|phiGD22-1|phiGD34-2|GD59SF/phiGD57-1|D29_HRM_GD150,10,phiGD23-1|Faith1|Faith1GD69|D29,4,R,FALSE,TRUE,Itos|D29|phAK20,3,TRUE,TRUE,TRUE,1,1,AbiAlpha,spot_32
GD249,TRUE,4928631,0,0,0,NA,NA,NA,6,2,RM_I|RM_II,AbiAlpha|CBASS|Cas|RM_Type_I|RM_Type_II|Wadjet,AbiAlpha|CAS_Class1-Subtype-IV-B|CBASS_I_TM|DNA_met_RM_Type_II_PDDEXK|N6_RM_Type_I|Wadjet_I,13,2,2,19,NA,M. abscessus,abscessus,Hadassah Hebrew Univ,Israel,36,0,0,DCC4,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,Cas|RM_Type_I|RM_Type_II|Wadjet,NA
GD25,TRUE,5194754,0,1,1,prophiGD25-1,60696,1889537-1949113,10,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Taranis|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Taranis|Thoeris_VII|Wadjet_I,11,1,3,21,NA,M. abscessus,abscessus,Alaska Regional Hospital,USA,34,2,0.0588,DCC2,HE,1,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,2,2,Taranis|Thoeris,spot_54
GD250,TRUE,5399272,0,3,3,prophiGD250_12-1|prophiGD250_2-1|prophiGD250_3-1,43478|57531|55264,609-43361|2794-58984|122947-178084,8,0,NA,AbiAlpha|Aristaios|CBASS|Dag|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dag|Dnd_ABCDE|Hna|Wadjet_I,13,0,0,21,NA,M. abscessus,abscessus,"Mayo Clinic of Rochester, Minnesota",USA,36,0,0,DCC1,HH|HA|A1,3,NA,0,phiGD89A-1,1,R,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,3,3,Dnd|Wadjet,spot_34
GD251,TRUE,5052932,0,1,1,prophiGD251_2-1,61802,155837-217186,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Mayo Clinic of Rochester, Minnesota",USA,36,0,0,DCC1,HA,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,AbiAlpha|Aristaios|CBASS|Wadjet,spot_3|spot_32|spot_49
GD252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Yale,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD253,TRUE,4964407,0,1,1,prophiGD253_8-1,52109,48-51841,7,1,RM_III,AbiAlpha|CBASS|Dag|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_N4_RM_Type_III|RloC|RosmerTA|Wadjet_I,13,1,1,20,NA,M. abscessus,abscessus,"Mayo Clinic of Rochester, Minnesota",USA,30,0,0,DCC4,HA,1,NA,0,ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del,3,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,1,1,CBASS,spot_3
GD254,TRUE,5022491,0,0,0,NA,NA,NA,16,6,RM_I|RM_IIG,AbiAlpha|Armada|BREX|DRT|Dag|PD-T7-2|RM_Type_I|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|Armada_Type_I|Armada_Type_II|BREX_I|DRT9|Dag|N6_RM_Type_I|N6_RM_Type_IIG|PD-T7-2|RloC|VP1853|Wadjet_I,14,1,4,30,NA,M. abscessus,abscessus,U of Michigan,USA,36,3,0.0833,DCC5,NA,0,phiGD89A-1|phiGD34-2|phiGD21-1,3,NA,0,R,FALSE,TRUE,Muddy|phAK2|phAK20,3,TRUE,TRUE,FALSE,2,3,RM_Type_I|RM_Type_IIG|VP1853,spot_0|spot_9
GD255,TRUE,5525305,4,4,4,prophiGD255_12-1|prophiGD255_13-1|prophiGD255_14-1|prophiGD255_8-1,48073|75287|53110|40275,148747-193839|80384-155394|125218-177808|69364-108874,13,4,RM_I|RM_II|RM_IIG,AbiAlpha|DRT|Dag|Metis|RM_Type_I|RM_Type_II|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|DNA_met_RM_Type_II_PDDEXK|DRT9|Dag|Metis_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|VP1853|Wadjet_I,14,1,4,27,NA,M. abscessus,abscessus,South Australia,NA,36,0,0,DCC5,M|HK|HC|HB,4,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,4,Dag|Metis|RM_Type_IIG|VP1853,spot_121|spot_26
GD256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Universtiy of Melbourne,NA,36,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Yale,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD258,TRUE,5292141,0,2,2,prophiGD258_13-1|prophiGD258_2-1,73080|53805,13257-85290|464053-517441,9,1,RM_IIG,AbiAlpha|AbiD|AbiE|DRT|Dag|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|AbiD|AbiE|DRT9|Dag|N6_RM_Type_IIG|RloC|VP1853|Wadjet_I,13,1,1,22,NA,M. abscessus,abscessus,"Mayo Clinic of Rochester, Minnesota",USA,36,6,0.1667,DCC5,HK|HF,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsREM1del33|Adephagiadel43del45|Itos|Faith1,6,phiGD34-2,1,R,FALSE,TRUE,BPs,1,TRUE,TRUE,TRUE,1,1,AbiD,NA
GD259,TRUE,5114392,0,2,2,prophiGD259_3-1|prophiGD259_7-1,52591|66737,360208-412651|2586-67579,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Children's Hospital of The King's Daughters,USA,36,15,0.4167,DCC1,HC|HA,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsREM1del33|Itos|phi-T45|phiGD17-1|phiGD24-3|phiGD89A-1|phiGD20-1|phiGD22-1|phiGD34-2|phiGD21-1|phiGD23-1|Faith1|Faith1GD69,15,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD26,TRUE,5098671,0,1,1,prophiGD26-1,61802,1738025-1799374,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,34,2,0.0588,DCC1,HA,1,BPsdel33HTH_HRM10|Itos,2,BPsdel33HTH_HRM-GD03,1,R,FALSE,TRUE,BPs|Itos,2,TRUE,TRUE,TRUE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD260,TRUE,5016563,0,1,1,prophiGD260_13-1,33544,3104-35529,5,1,RM_III,AbiAlpha|Aristaios|Dnd|RM_Type_III|Wadjet,AbiAlpha|Aristaios|Dnd_ABCDE|N6_N4_RM_Type_III|Wadjet_I,9,0,1,14,NA,M. abscessus,abscessus,"Mayo Clinic of Rochester, Minnesota",USA,36,0,0,DCC1,HB,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,2,2,AbiAlpha|RM_Type_III,spot_28
GD261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah Hebrew Univ,Israel,36,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD262,TRUE,5045704,1,2,2,prophiGD262_3-1|prophiGD262_6-1,42652|61646,409754-452262|73191-134475,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,Jewish General Hospital Montreal,NA,36,0,0,DCC7,HN|HA,2,NA,0,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,FALSE,FALSE,1,3,CBASS|RM_Type_I|RM_Type_IIG,spot_44
GD263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"City of Hope National Medical Center, CA",USA,36,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Cincinnati Children’s Hospital Medical Center,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD265A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of San Francisco,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD265B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of San Francisco,USA,36,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Penn Medicine,USA,36,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD267,TRUE,5133414,0,1,1,prophiGD267_2-1,65492,564458-629528,6,2,RM_I|RM_IIG,AbiAlpha|Butters_gp57r|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|N6_RM_Type_IIG|Wadjet_I,13,1,2,19,NA,M. abscessus,massiliense,"Johns Hopkins, MD",USA,36,0,0,DCC3,IA,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,5,5,AbiAlpha|Butters_gp57r|RM_Type_I|RM_Type_IIG|Wadjet,spot_30|spot_44
GD268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Scripps Health,USA,36,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD269,TRUE,5150858,0,1,1,prophiGD269_1-1,56881,391746-446982,7,1,RM_II,AbiAlpha|AbiD|Aristaios|Dnd|Hna|RM_Type_II|Wadjet,AbiAlpha|AbiD|Aristaios|Dnd_ABCDE|Hna|N6_RM_Type_II_PDDEXK|Wadjet_I,12,1,1,19,NA,M. abscessus,abscessus,Great Ormond Street Hospital,NA,36,0,0,DCC1,HG,1,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,AbiAlpha|AbiD|Aristaios|Wadjet,spot_32|spot_49
GD27,TRUE,5067972,0,1,1,prophiGD27_2-1,59550,308309-367409,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Massachussetts General Hospital,USA,24,2,0.0833,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,NA,0,R,FALSE,TRUE,BPs,1,TRUE,TRUE,FALSE,3,3,AbiAlpha|Aristaios|Wadjet,spot_32|spot_49
GD270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Great Ormond Street Hospital,NA,36,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD271,TRUE,6052930,1,0,0,NA,NA,NA,4,0,RM_IV,CBASS|Ceres|DS-29|Esos,CBASS_II_Phospholipase|Ceres|DS-29|Esos,13,1,1,17,NA,M. chimaera,NA,Great Ormond Street Hospital,NA,36,1,0.0278,NA,NA,0,ZoeJdel43-45,1,TM4 del rep,1,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD272,TRUE,5026669,2,2,2,prophiGD272-1|prophiGD272-2,62416|74324,1139571-1201625|3525519-3598268,9,3,RM_I|RM_IIG,AbiAlpha|CBASS|Lamassu-Fam|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|Lamassu_Cap4|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,16,1,3,25,NA,M. abscessus,massiliense,The University of North Carolina at Chapel Hill,NA,37,4,0.1081,DCC7,HA|HG,2,Muddy|Muddy_HRM-GD04|8UZL|BPs(GD272),4,Maco6,1,R,FALSE,TRUE,BPs|Muddy,2,TRUE,TRUE,TRUE,3,4,AbiAlpha|CBASS|Other_Type_IV|RM_Type_IIG,spot_14|spot_44
GD273,TRUE,5083564,1,2,2,prophiGD273_2-1|prophiGD273_3-1,41229|52085,143244-184334|20616-72135,8,3,RM_I|RM_IIG,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,1,3,21,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,36,0,0,DCC7,HN|HD,2,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,5,AbiAlpha|CBASS|RM_Type_I|Wadjet,spot_10|spot_44
GD274,TRUE,5050342,0,3,3,prophiGD274_2-1|prophiGD274_2-2|prophiGD274_8-1,52846|54425|43315,239865-292174|314258-367227|212688-255436,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"National Institutes of Health, Bethesda, MD",NA,36,0,0,DCC1,HD|HG|HH,3,NA,0,D29_HRM_GD40,1,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,2,2,CBASS|Wadjet,spot_3
GD275,TRUE,4895946,1,0,0,NA,NA,NA,5,2,RM_I|RM_IIG,AbiAlpha|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,10,0,2,15,NA,M. abscessus,massiliense,UC San Diego Center for Innovative Phage Applications and Therapeutics,USA,36,0,0,DCC7,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,2,2,Other_Type_IV|Wadjet,NA
